loss,accuracy,top3_accuracy,val_loss,val_accuracy,val_top3_accuracy,lr
2.7309250831604004,0.07734806835651398,0.2707182466983795,2.4441113471984863,0.12820513546466827,0.41025641560554504,0.001
2.4998254776000977,0.10497237741947174,0.28176796436309814,2.4194955825805664,0.07692307978868484,0.3333333432674408,0.001
2.389723300933838,0.11049723625183105,0.3425414264202118,2.387512683868408,0.07692307978868484,0.28205129504203796,0.001
2.3896780014038086,0.11602210253477097,0.33149170875549316,2.37198805809021,0.10256410390138626,0.3589743673801422,0.001
2.3063974380493164,0.19337016344070435,0.4917127192020416,2.300626039505005,0.28205129504203796,0.41025641560554504,0.001
2.266491413116455,0.14917127788066864,0.4309392273426056,2.21122145652771,0.12820513546466827,0.5384615659713745,0.001
2.1638906002044678,0.19337016344070435,0.4751381278038025,2.1977784633636475,0.12820513546466827,0.4871794879436493,0.001
2.1072821617126465,0.24309392273426056,0.591160237789154,2.116774797439575,0.1794871836900711,0.6410256624221802,0.001
2.0411500930786133,0.24861878156661987,0.5745856165885925,2.083066463470459,0.23076923191547394,0.6153846383094788,0.001
1.977613925933838,0.23756906390190125,0.591160237789154,2.0457942485809326,0.12820513546466827,0.5384615659713745,0.001
1.9319173097610474,0.265193372964859,0.5745856165885925,2.0743494033813477,0.1794871836900711,0.5384615659713745,0.001
1.8956514596939087,0.2928176820278168,0.5966851115226746,1.9769195318222046,0.3333333432674408,0.7179487347602844,0.001
1.7745270729064941,0.32044199109077454,0.6685082912445068,1.8707537651062012,0.3333333432674408,0.6153846383094788,0.001
1.7027791738510132,0.3535911738872528,0.6961326003074646,1.9932513236999512,0.1794871836900711,0.5384615659713745,0.001
1.6498318910598755,0.4254143536090851,0.7403314709663391,1.878232479095459,0.3333333432674408,0.5384615659713745,0.001
1.6170947551727295,0.4033149182796478,0.7513812184333801,1.9215002059936523,0.25641027092933655,0.5384615659713745,0.001
1.5390483140945435,0.4309392273426056,0.7679557800292969,1.6444536447525024,0.3076923191547394,0.7435897588729858,0.001
1.6461269855499268,0.3425414264202118,0.7071823477745056,1.8133111000061035,0.25641027092933655,0.6153846383094788,0.001
1.5221351385116577,0.4309392273426056,0.7734806537628174,1.8330914974212646,0.3333333432674408,0.6666666865348816,0.001
1.4404151439666748,0.469613254070282,0.8121547102928162,1.6504040956497192,0.3333333432674408,0.7179487347602844,0.001
1.4030089378356934,0.45303866267204285,0.7790055274963379,1.7093844413757324,0.28205129504203796,0.7692307829856873,0.001
1.3808149099349976,0.4364641010761261,0.7955800890922546,1.7982501983642578,0.3076923191547394,0.6410256624221802,0.001
1.394087791442871,0.4475138187408447,0.8066298365592957,1.5644410848617554,0.3589743673801422,0.7179487347602844,0.0005
1.187743067741394,0.5469613075256348,0.8618784546852112,1.6638107299804688,0.3333333432674408,0.6666666865348816,0.0005
1.1845738887786865,0.5524861812591553,0.8950276374816895,1.5822230577468872,0.3076923191547394,0.692307710647583,0.0005
1.0591446161270142,0.5745856165885925,0.8674033284187317,1.5794237852096558,0.3076923191547394,0.7179487347602844,0.0005
1.0754245519638062,0.6077347993850708,0.8397790193557739,1.493279218673706,0.3076923191547394,0.7948718070983887,0.0005
1.0152782201766968,0.6187845468521118,0.90055251121521,1.4597073793411255,0.38461539149284363,0.7692307829856873,0.0005
0.9300739169120789,0.6187845468521118,0.9558011293411255,1.4407737255096436,0.4615384638309479,0.7692307829856873,0.0005
0.8624155521392822,0.6740331649780273,0.9281768202781677,1.456964373588562,0.5128205418586731,0.8205128312110901,0.0005
0.892524242401123,0.6685082912445068,0.9171270728111267,1.415248155593872,0.43589743971824646,0.8205128312110901,0.0005
0.8210573196411133,0.6795580387115479,0.9447513818740845,1.603980302810669,0.3589743673801422,0.7435897588729858,0.0005
0.9330579042434692,0.6298342347145081,0.90055251121521,1.5754902362823486,0.38461539149284363,0.7948718070983887,0.0005
0.9134531617164612,0.6077347993850708,0.9281768202781677,1.418041706085205,0.4871794879436493,0.7435897588729858,0.0005
0.7969797849655151,0.6961326003074646,0.9337016344070435,1.5271707773208618,0.4615384638309479,0.7179487347602844,0.0005
0.7064598202705383,0.7071823477745056,0.9558011293411255,1.5646899938583374,0.4615384638309479,0.7948718070983887,0.0005
0.699628472328186,0.7790055274963379,0.9558011293411255,1.6808972358703613,0.4615384638309479,0.8205128312110901,0.00025
0.6291584968566895,0.7458563446998596,0.9723756909370422,1.5154920816421509,0.4871794879436493,0.7948718070983887,0.00025
0.6019368171691895,0.7955800890922546,0.939226508140564,1.497275948524475,0.5128205418586731,0.7948718070983887,0.00025
0.5350905656814575,0.8232043981552124,0.9779005646705627,1.5840473175048828,0.43589743971824646,0.8205128312110901,0.00025
0.5113915801048279,0.7900552749633789,0.9834254384040833,1.6320891380310059,0.41025641560554504,0.8717948794364929,0.00025
0.4405592679977417,0.8563535809516907,0.9944751262664795,1.7413616180419922,0.43589743971824646,0.7948718070983887,0.000125
0.449939101934433,0.8508287072181702,0.9779005646705627,1.7910327911376953,0.4615384638309479,0.7948718070983887,0.000125
0.41115322709083557,0.8729282021522522,0.988950252532959,1.773059368133545,0.43589743971824646,0.7948718070983887,0.000125
0.4262339472770691,0.8508287072181702,0.988950252532959,1.8778152465820312,0.41025641560554504,0.7948718070983887,0.000125
0.3852883577346802,0.8784530162811279,0.988950252532959,1.9274393320083618,0.41025641560554504,0.7692307829856873,0.000125
